gene,alias,gene_group,cell_type,pathway,tme_subtype,prognostic_significance,source_article,provenance,is_housekeeping
DES,,kotlov_FGES_FRC,stromal/fibroblast,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
ICAM1,,kotlov_FGES_FRC,stromal/fibroblast,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
LTBR,,kotlov_FGES_FRC,stromal/fibroblast,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
NT5E,,kotlov_FGES_FRC,stromal/fibroblast,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
PDGFRA,,kotlov_FGES_FRC,stromal/fibroblast,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
PDPN,podoplanin,kotlov_FGES_FRC,stromal/fibroblast,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
PTGS2,,kotlov_FGES_FRC,stromal/fibroblast,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
THY1,CD90,kotlov_FGES_FRC,stromal/fibroblast,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
VCAM1,,kotlov_FGES_FRC,stromal/fibroblast,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
VIM,,kotlov_FGES_FRC,stromal/fibroblast,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
BTLA,,kotlov_FGES_IS_checkpoints,none,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CD274,PD-L1,kotlov_FGES_IS_checkpoints,none,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CTLA4,CD152,kotlov_FGES_IS_checkpoints,none,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
HAVCR2,TIM-3,kotlov_FGES_IS_checkpoints,none,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
LAG3,,kotlov_FGES_IS_checkpoints,none,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
PDCD1,PD-1,kotlov_FGES_IS_checkpoints,none,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
PDCD1LG2,PD-L2,kotlov_FGES_IS_checkpoints,none,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
TIGIT,,kotlov_FGES_IS_checkpoints,none,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CCL4,,kotlov_FGES_IS_cytokines,none,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CXCL8,,kotlov_FGES_IS_cytokines,none,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
IL10,,kotlov_FGES_IS_cytokines,none,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
IL22,,kotlov_FGES_IS_cytokines,none,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
IL6,,kotlov_FGES_IS_cytokines,none,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
MIF,,kotlov_FGES_IS_cytokines,none,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
TNFSF13B,,kotlov_FGES_IS_cytokines,none,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CCL21,,kotlov_FGES_LEC,endothelial,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CXADR,,kotlov_FGES_LEC,endothelial,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CXCL12,,kotlov_FGES_LEC,endothelial,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
EDNRB,,kotlov_FGES_LEC,endothelial,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
FLT4,VEGFR3,kotlov_FGES_LEC,endothelial,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
FOXC2,,kotlov_FGES_LEC,endothelial,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
JAM2,,kotlov_FGES_LEC,endothelial,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
JAM3,,kotlov_FGES_LEC,endothelial,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
LYVE1,,kotlov_FGES_LEC,endothelial,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
PDPN,podoplanin,kotlov_FGES_LEC,endothelial,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
PPP1R13B,,kotlov_FGES_LEC,endothelial,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
PROX1,,kotlov_FGES_LEC,endothelial,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
SOX18,,kotlov_FGES_LEC,endothelial,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
B2M,,kotlov_FGES_MHC_I,none,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
HLA-A,,kotlov_FGES_MHC_I,none,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
HLA-B,,kotlov_FGES_MHC_I,none,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
HLA-C,,kotlov_FGES_MHC_I,none,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
TAP1,,kotlov_FGES_MHC_I,none,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
TAP2,,kotlov_FGES_MHC_I,none,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
HLA-DMA,,kotlov_FGES_MHC_II,none,none,GC-like,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
HLA-DMB,,kotlov_FGES_MHC_II,none,none,GC-like,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
HLA-DPA1,,kotlov_FGES_MHC_II,none,none,GC-like,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
HLA-DPB1,,kotlov_FGES_MHC_II,none,none,GC-like,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
HLA-DQA1,,kotlov_FGES_MHC_II,none,none,GC-like,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
HLA-DQB1,,kotlov_FGES_MHC_II,none,none,GC-like,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
HLA-DRA,,kotlov_FGES_MHC_II,none,none,GC-like,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
HLA-DRB1,,kotlov_FGES_MHC_II,none,none,GC-like,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
BIRC3,,kotlov_FGES_NFkB,none,NF-kB,none,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
CD40,,kotlov_FGES_NFkB,none,NF-kB,none,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
NFKB1,,kotlov_FGES_NFkB,none,NF-kB,none,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
NFKB2,,kotlov_FGES_NFkB,none,NF-kB,none,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
NFKBIA,,kotlov_FGES_NFkB,none,NF-kB,none,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
REL,,kotlov_FGES_NFkB,none,NF-kB,none,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
RELA,,kotlov_FGES_NFkB,none,NF-kB,none,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
RELB,,kotlov_FGES_NFkB,none,NF-kB,none,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
TNFAIP3,,kotlov_FGES_NFkB,none,NF-kB,none,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
CD160,,kotlov_FGES_NK,NK,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CD226,,kotlov_FGES_NK,NK,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CD244,,kotlov_FGES_NK,NK,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
EOMES,,kotlov_FGES_NK,NK,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
FGFBP2,,kotlov_FGES_NK,NK,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
GNLY,,kotlov_FGES_NK,NK,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
GZMB,,kotlov_FGES_NK,NK,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
GZMH,,kotlov_FGES_NK,NK,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
IFNG,,kotlov_FGES_NK,NK,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
KIR2DL4,,kotlov_FGES_NK,NK,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
KLRC2,,kotlov_FGES_NK,NK,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
KLRF1,,kotlov_FGES_NK,NK,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
KLRK1,,kotlov_FGES_NK,NK,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
NCR1,,kotlov_FGES_NK,NK,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
NCR3,,kotlov_FGES_NK,NK,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
NKG7,,kotlov_FGES_NK,NK,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
SH2D1B,,kotlov_FGES_NK,NK,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
AKT1,,kotlov_FGES_PI3K,none,PI3K-AKT,none,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
AKT2,,kotlov_FGES_PI3K,none,PI3K-AKT,none,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
AKT3,,kotlov_FGES_PI3K,none,PI3K-AKT,none,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
MTOR,,kotlov_FGES_PI3K,none,PI3K-AKT,none,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
PIK3CA,,kotlov_FGES_PI3K,none,PI3K-AKT,none,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
PIK3CB,,kotlov_FGES_PI3K,none,PI3K-AKT,none,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
PIK3CD,,kotlov_FGES_PI3K,none,PI3K-AKT,none,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
PTEN,,kotlov_FGES_PI3K,none,PI3K-AKT,none,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
RPS6KB1,,kotlov_FGES_PI3K,none,PI3K-AKT,none,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
BCL6,,kotlov_FGES_TFH,CD4 T,none,GC-like,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CD40LG,,kotlov_FGES_TFH,CD4 T,none,GC-like,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CD84,,kotlov_FGES_TFH,CD4 T,none,GC-like,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CXCR5,,kotlov_FGES_TFH,CD4 T,none,GC-like,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
ICOS,CD278,kotlov_FGES_TFH,CD4 T,none,GC-like,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
IL21,,kotlov_FGES_TFH,CD4 T,none,GC-like,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
IL4,,kotlov_FGES_TFH,CD4 T,none,GC-like,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
IL6,,kotlov_FGES_TFH,CD4 T,none,GC-like,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
MAF,,kotlov_FGES_TFH,CD4 T,none,GC-like,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
SH2D1A,,kotlov_FGES_TFH,CD4 T,none,GC-like,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
SERPINE1,,kotlov_FGES_TGFB,stromal/fibroblast,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",article_text,False
SMAD1,,kotlov_FGES_TGFB,stromal/fibroblast,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",article_text,False
SMAD2,,kotlov_FGES_TGFB,stromal/fibroblast,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",article_text,False
SMAD3,,kotlov_FGES_TGFB,stromal/fibroblast,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",article_text,False
SMAD7,,kotlov_FGES_TGFB,stromal/fibroblast,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",article_text,False
TGFB1,,kotlov_FGES_TGFB,stromal/fibroblast,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",article_text,False
TGFBR1,,kotlov_FGES_TGFB,stromal/fibroblast,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",article_text,False
TGFBR2,,kotlov_FGES_TGFB,stromal/fibroblast,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",article_text,False
CD28,,kotlov_FGES_TIL,CD4 T,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CD3D,,kotlov_FGES_TIL,CD4 T,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CD3E,,kotlov_FGES_TIL,CD4 T,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CD3G,,kotlov_FGES_TIL,CD4 T,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
ITK,,kotlov_FGES_TIL,CD4 T,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
TBX21,,kotlov_FGES_TIL,CD4 T,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
TRAC,,kotlov_FGES_TIL,CD4 T,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
TRAT1,,kotlov_FGES_TIL,CD4 T,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
TRBC1,,kotlov_FGES_TIL,CD4 T,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
TRBC2,,kotlov_FGES_TIL,CD4 T,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CCL5,,kotlov_FGES_T_cells_traffic,none,interferon,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CX3CL1,,kotlov_FGES_T_cells_traffic,none,interferon,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CX3CR1,,kotlov_FGES_T_cells_traffic,none,interferon,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CXCL10,,kotlov_FGES_T_cells_traffic,none,interferon,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CXCL11,,kotlov_FGES_T_cells_traffic,none,interferon,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CXCL9,,kotlov_FGES_T_cells_traffic,none,interferon,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CXCR3,,kotlov_FGES_T_cells_traffic,none,interferon,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CCR8,,kotlov_FGES_Treg,Treg,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CTLA4,CD152,kotlov_FGES_Treg,Treg,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
FOXP3,,kotlov_FGES_Treg,Treg,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
IKZF2,,kotlov_FGES_Treg,Treg,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
IKZF4,,kotlov_FGES_Treg,Treg,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
IL10,,kotlov_FGES_Treg,Treg,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
TNFRSF18,GITR,kotlov_FGES_Treg,Treg,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
ANGPT1,,kotlov_FGES_VEC,endothelial,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
ANGPT2,,kotlov_FGES_VEC,endothelial,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CDH5,VE-cadherin,kotlov_FGES_VEC,endothelial,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CXCL5,,kotlov_FGES_VEC,endothelial,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CXCL8,,kotlov_FGES_VEC,endothelial,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CXCR2,,kotlov_FGES_VEC,endothelial,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
FLT1,,kotlov_FGES_VEC,endothelial,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
KDR,VEGFR2,kotlov_FGES_VEC,endothelial,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
PDGFC,,kotlov_FGES_VEC,endothelial,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
PGF,,kotlov_FGES_VEC,endothelial,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
TEK,,kotlov_FGES_VEC,endothelial,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
VEGFA,,kotlov_FGES_VEC,endothelial,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
VEGFB,,kotlov_FGES_VEC,endothelial,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
VEGFC,,kotlov_FGES_VEC,endothelial,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
VWF,,kotlov_FGES_VEC,endothelial,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CMKLR1,,kotlov_FGES_activated_M1,macrophage,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
IL1B,,kotlov_FGES_activated_M1,macrophage,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
NOS2,,kotlov_FGES_activated_M1,macrophage,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
TNF,,kotlov_FGES_activated_M1,macrophage,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
AURKA,,kotlov_FGES_cell_proliferation,none,proliferation,depleted,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
AURKB,,kotlov_FGES_cell_proliferation,none,proliferation,depleted,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
BUB1,,kotlov_FGES_cell_proliferation,none,proliferation,depleted,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CCNB1,,kotlov_FGES_cell_proliferation,none,proliferation,depleted,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CCND1,,kotlov_FGES_cell_proliferation,none,proliferation,depleted,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CCNE1,,kotlov_FGES_cell_proliferation,none,proliferation,depleted,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CDK2,,kotlov_FGES_cell_proliferation,none,proliferation,depleted,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CETN3,,kotlov_FGES_cell_proliferation,none,proliferation,depleted,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
E2F1,,kotlov_FGES_cell_proliferation,none,proliferation,depleted,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
ESCO2,,kotlov_FGES_cell_proliferation,none,proliferation,depleted,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
MCM2,,kotlov_FGES_cell_proliferation,none,proliferation,depleted,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
MCM6,,kotlov_FGES_cell_proliferation,none,proliferation,depleted,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
MKI67,Ki-67,kotlov_FGES_cell_proliferation,none,proliferation,depleted,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
MYBL2,,kotlov_FGES_cell_proliferation,none,proliferation,depleted,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
PLK1,,kotlov_FGES_cell_proliferation,none,proliferation,depleted,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
GNLY,,kotlov_FGES_cytolytic,CD8 T,none,inflammatory,favourable (OS),"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
GZMA,,kotlov_FGES_cytolytic,CD8 T,none,inflammatory,favourable (OS),"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
GZMB,,kotlov_FGES_cytolytic,CD8 T,none,inflammatory,favourable (OS),"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
GZMH,,kotlov_FGES_cytolytic,CD8 T,none,inflammatory,favourable (OS),"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
GZMK,,kotlov_FGES_cytolytic,CD8 T,none,inflammatory,favourable (OS),"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
KLRD1,,kotlov_FGES_cytolytic,CD8 T,none,inflammatory,favourable (OS),"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
NKG7,,kotlov_FGES_cytolytic,CD8 T,none,inflammatory,favourable (OS),"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
PRF1,,kotlov_FGES_cytolytic,CD8 T,none,inflammatory,favourable (OS),"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
CD1C,,kotlov_FGES_dendritic_cells,macrophage,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
CLEC9A,,kotlov_FGES_dendritic_cells,macrophage,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
FLT3,,kotlov_FGES_dendritic_cells,macrophage,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
ITGAX,CD11c,kotlov_FGES_dendritic_cells,macrophage,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
LAMP3,,kotlov_FGES_dendritic_cells,macrophage,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
CCL11,,kotlov_FGES_granulocyte_traffic,none,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CCR3,,kotlov_FGES_granulocyte_traffic,none,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CXCL1,,kotlov_FGES_granulocyte_traffic,none,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CXCL2,,kotlov_FGES_granulocyte_traffic,none,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CXCL5,,kotlov_FGES_granulocyte_traffic,none,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CXCL8,,kotlov_FGES_granulocyte_traffic,none,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CXCR1,,kotlov_FGES_granulocyte_traffic,none,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CXCR2,,kotlov_FGES_granulocyte_traffic,none,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
